iter	RMSE
0	40.44616137
1	39.19313031
2	37.90133202
3	36.84531077
4	35.77547253
5	34.75597884
6	33.70124071
7	32.6277585
8	31.55628962
9	30.57371138
10	29.69931189
11	28.80696339
12	27.94177127
13	27.05525633
14	26.25032583
15	25.45869355
16	24.68767884
17	23.95542926
18	23.31620307
19	22.5669274
20	21.92785055
21	21.32205763
22	20.69803073
23	20.09273115
24	19.50759677
25	18.95708594
26	18.42968061
27	17.88721854
28	17.35185378
29	16.88290343
30	16.3631418
31	15.90141417
32	15.46614925
33	15.01873441
34	14.65705702
35	14.23094742
36	13.83422695
37	13.45702916
38	13.06870552
39	12.68555265
40	12.30298515
41	11.98098705
42	11.66819419
43	11.3515129
44	11.05493725
45	10.74514436
46	10.44877986
47	10.17292248
48	9.894312984
49	9.622875209
50	9.341156098
51	9.092968136
52	8.851893281
53	8.643183601
54	8.413051866
55	8.193266046
56	7.980663472
57	7.766855954
58	7.57135095
59	7.36717945
60	7.176670843
61	7.014126281
62	6.823699208
63	6.646307611
64	6.492475645
65	6.351284656
66	6.183669713
67	6.050641951
68	5.91448998
69	5.768490635
70	5.624158546
71	5.493840311
72	5.365764337
73	5.244152932
74	5.122771431
75	5.009385269
76	4.906336795
77	4.806438136
78	4.695612313
79	4.595560746
80	4.505919497
81	4.416746715
82	4.331898474
83	4.23705572
84	4.146948058
85	4.061856062
86	3.978872049
87	3.894533618
88	3.815271197
89	3.752102631
90	3.68453847
91	3.609468236
92	3.541208169
93	3.482263781
94	3.419459896
95	3.358287791
96	3.30144429
97	3.242443271
98	3.186071504
99	3.130757822
100	3.07458986
101	3.018937165
102	2.964825571
103	2.915713153
104	2.873289442
105	2.831388293
106	2.795420611
107	2.752115551
108	2.709470223
109	2.674197035
110	2.641578718
111	2.605200443
112	2.573097607
113	2.539558481
114	2.506521189
115	2.474959926
116	2.46672679
117	2.437855277
118	2.410844945
119	2.382193028
120	2.363598212
121	2.350783966
122	2.331530747
123	2.303681669
124	2.292173181
125	2.267233262
126	2.238430552
127	2.220878224
128	2.200126779
129	2.176059802
130	2.169061351
131	2.143553777
132	2.122030755
133	2.112333099
134	2.099111105
135	2.080600996
136	2.059251861
137	2.04144665
138	2.035033474
139	2.026912246
140	2.021676966
141	2.01383632
142	2.00637554
143	1.99997364
144	1.99421261
145	1.988455426
146	1.968302597
147	1.949962534
148	1.938970305
149	1.934392014
150	1.927626161
151	1.921956815
152	1.909915279
153	1.900759132
154	1.895363858
155	1.879023165
156	1.873055038
157	1.867937867
158	1.858904478
159	1.843588057
160	1.837902369
161	1.830893578
162	1.826263794
163	1.809404933
164	1.802119106
165	1.797724403
166	1.793319422
167	1.789033844
168	1.775651641
169	1.771607348
170	1.757540805
