iter	Passed	Remaining
0	20	20942
1	21	10932
2	23	7665
3	23	5941
4	24	4908
5	25	4216
6	26	3711
7	26	3336
8	27	3041
9	28	2813
10	29	2639
11	30	2480
12	30	2346
13	31	2227
14	32	2127
15	33	2036
16	33	1956
17	34	1882
18	35	1818
19	36	1770
20	36	1720
21	37	1667
22	38	1625
23	39	1586
24	39	1550
25	40	1517
26	41	1486
27	41	1457
28	42	1430
29	43	1421
30	44	1399
31	45	1375
32	46	1355
33	46	1333
34	47	1314
35	48	1297
36	49	1280
37	49	1263
38	50	1247
39	51	1236
40	52	1222
41	53	1211
42	53	1197
43	54	1186
44	55	1174
45	56	1163
46	56	1153
47	57	1142
48	58	1135
49	59	1128
50	60	1120
51	61	1113
52	61	1103
53	62	1094
54	63	1085
55	63	1077
56	64	1070
57	65	1063
58	66	1058
59	67	1051
60	67	1045
61	68	1038
62	69	1032
63	70	1026
64	70	1020
65	71	1015
66	72	1010
67	73	1002
68	73	997
69	74	991
70	75	986
71	76	981
72	76	976
73	77	971
74	78	966
75	79	961
76	79	957
77	80	952
78	81	950
79	82	946
80	83	942
81	83	935
82	84	931
83	85	927
84	85	923
85	86	920
86	87	917
87	88	913
88	88	909
89	89	906
90	90	902
91	91	899
92	91	895
93	92	892
94	93	889
95	94	885
96	94	884
97	95	881
98	96	880
99	97	878
100	98	878
101	99	878
102	100	876
103	101	874
104	102	872
105	103	870
106	104	868
107	104	865
108	105	863
109	106	860
110	107	858
111	107	855
112	108	853
113	109	850
114	110	847
115	110	844
116	111	839
117	112	837
118	112	836
119	113	835
120	114	833
121	115	833
122	116	831
123	117	829
124	118	827
125	118	824
126	119	822
127	120	820
128	121	818
129	122	816
130	122	812
131	123	810
132	123	808
133	124	805
134	125	802
135	125	800
136	126	798
137	127	796
138	128	794
139	128	792
140	129	788
141	130	787
142	131	785
143	131	782
144	131	778
145	132	776
146	133	774
147	134	772
148	134	770
149	135	767
150	136	766
151	136	762
152	137	760
153	138	759
154	138	757
155	139	755
156	140	754
157	140	750
158	141	748
159	142	747
160	143	746
161	144	745
162	144	743
163	145	742
164	146	741
165	146	737
166	147	736
167	148	733
168	148	731
169	149	728
170	150	727
171	150	725
172	151	723
173	151	721
174	152	718
175	153	716
176	153	715
177	154	714
178	155	711
179	155	708
180	156	707
181	156	705
182	157	703
183	158	702
184	158	700
185	160	700
186	161	700
187	161	698
188	162	696
189	162	694
190	163	692
191	164	691
192	164	689
193	165	688
194	166	686
195	166	684
196	167	683
197	168	682
198	169	681
199	170	680
200	170	679
201	171	678
202	172	677
203	173	675
204	174	675
205	175	674
206	176	674
207	177	674
208	177	672
209	178	670
210	179	669
211	179	667
212	180	666
213	180	664
214	181	663
215	182	662
216	183	661
217	183	659
218	184	658
219	185	657
220	185	655
221	186	654
222	187	653
223	188	652
224	189	652
225	190	651
226	191	650
227	192	650
228	193	650
229	194	649
230	195	649
231	195	648
