iter	Passed	Remaining
0	0	803
1	1	724
2	2	667
3	2	657
4	3	641
5	3	630
6	4	620
7	4	607
8	5	601
9	6	596
10	6	590
11	7	587
12	7	583
13	8	581
14	8	578
15	9	575
16	9	575
17	10	574
18	11	573
19	11	573
20	12	572
21	12	571
22	13	568
23	13	568
24	14	565
25	15	563
26	15	561
27	16	559
28	16	558
29	17	557
30	17	556
31	18	554
32	18	555
33	19	554
34	20	553
35	20	552
36	21	551
37	21	549
38	22	548
39	22	548
40	23	547
41	23	545
42	24	544
43	25	543
44	25	541
45	26	540
46	26	538
47	27	536
48	27	535
49	28	534
50	28	534
51	29	532
52	29	531
53	30	529
54	30	528
55	31	525
56	31	523
57	32	522
58	32	520
59	33	519
60	33	518
61	34	518
62	34	518
63	35	518
64	36	518
65	36	517
66	37	518
67	37	518
68	38	517
69	38	517
70	39	517
71	40	516
72	40	516
73	41	515
74	41	515
75	42	514
76	42	514
77	43	513
78	43	512
79	44	511
80	45	510
81	45	509
82	46	508
83	46	507
84	47	507
85	47	506
86	48	506
87	48	505
88	49	504
89	49	503
90	50	502
91	50	501
92	51	499
93	51	498
94	52	498
95	52	496
96	53	495
97	53	495
98	54	494
99	54	493
100	55	492
101	55	491
102	56	490
103	56	489
104	57	488
105	57	487
106	58	486
107	58	485
108	59	484
109	59	484
110	60	483
111	60	482
112	61	481
113	61	480
114	62	480
115	62	479
116	63	478
117	63	477
118	64	476
119	64	475
120	65	475
121	65	474
122	66	472
123	66	472
124	67	471
125	67	470
126	68	469
127	68	468
128	69	468
129	69	467
130	70	466
131	70	465
132	71	464
133	71	464
134	72	463
135	72	462
136	73	461
137	73	461
138	74	460
139	74	459
140	75	458
141	75	458
142	76	457
143	76	457
144	77	456
145	77	455
146	78	454
147	78	454
148	79	453
149	79	452
150	80	451
151	80	450
152	81	450
153	81	449
154	82	448
155	82	448
156	83	447
157	83	446
158	84	445
159	84	445
160	85	444
161	85	443
162	86	442
163	86	442
164	87	441
165	87	440
166	88	440
167	88	439
168	89	438
169	89	437
170	90	437
171	90	436
172	91	436
173	91	435
174	92	434
175	92	434
176	93	433
177	93	432
178	94	431
179	94	431
180	95	430
181	95	429
182	96	429
183	96	428
184	97	427
185	97	427
186	98	426
187	98	425
188	99	425
189	99	424
190	100	423
191	100	423
192	101	422
193	101	421
194	102	421
195	102	420
196	102	419
197	103	418
198	103	418
199	104	417
200	104	417
201	105	416
202	105	416
203	106	415
204	106	414
205	107	414
206	107	413
207	108	413
208	108	412
209	109	411
210	109	411
211	110	410
212	110	409
213	111	409
214	111	408
215	112	407
216	112	407
217	113	407
218	114	406
219	114	406
220	115	405
221	115	405
222	116	404
223	116	404
224	117	403
225	117	402
226	118	402
227	118	401
228	119	401
229	119	400
230	120	400
231	120	399
232	121	398
233	121	398
234	122	397
235	122	397
236	123	396
237	123	395
238	124	395
239	124	394
240	125	393
241	125	393
242	126	392
243	126	392
244	127	391
245	127	391
246	128	390
247	128	389
248	129	389
249	129	389
250	130	388
251	130	388
252	131	387
253	131	386
254	132	386
255	132	385
256	133	385
257	133	384
258	134	384
259	134	383
260	135	382
261	135	382
262	136	381
263	136	380
264	137	380
265	137	379
266	138	379
267	138	378
268	139	377
269	139	377
270	140	376
271	140	376
272	141	375
273	141	375
274	142	374
275	142	373
276	143	373
277	143	372
278	144	372
279	144	371
280	144	370
281	145	370
282	145	369
283	146	369
284	146	368
285	147	367
286	147	367
287	148	366
288	148	366
289	149	365
290	149	364
291	150	364
292	150	363
293	151	363
294	151	362
295	152	362
296	152	361
297	153	361
298	153	360
299	154	360
300	154	359
301	155	358
302	155	358
303	156	357
304	156	357
305	157	356
306	157	356
307	158	355
308	158	354
309	159	354
310	159	353
311	160	353
312	160	352
313	161	352
314	161	351
315	162	350
316	162	350
317	163	349
318	163	349
319	164	348
320	164	348
321	165	347
322	165	347
323	166	346
324	166	345
325	167	345
326	167	344
327	167	344
328	168	343
329	168	343
330	169	342
331	169	341
332	170	341
333	170	340
334	171	340
335	171	339
336	172	339
337	172	338
338	173	337
339	173	337
340	174	336
341	174	336
342	175	335
343	175	335
344	176	334
345	176	334
346	177	333
347	177	332
348	178	332
349	178	332
350	179	331
351	179	331
352	180	330
353	180	329
354	181	329
355	181	328
356	182	328
357	182	327
358	183	327
359	183	326
360	184	326
361	184	325
362	185	325
363	185	324
364	186	324
365	186	323
366	187	322
367	187	322
368	188	321
369	188	321
370	189	320
371	189	320
372	190	319
373	190	319
374	191	318
375	191	317
376	192	317
377	192	316
378	193	316
379	193	315
380	193	315
381	194	314
382	194	313
383	195	313
384	195	312
385	196	312
386	196	311
387	197	311
388	197	310
389	198	310
390	198	309
391	199	308
392	199	308
393	200	307
394	200	307
395	201	306
396	201	306
397	202	305
398	202	305
399	203	304
400	203	304
401	204	303
402	204	303
403	205	302
404	205	301
405	206	301
406	206	300
407	207	300
408	207	299
409	208	299
410	208	298
411	208	298
412	209	297
413	209	297
414	210	296
415	210	296
416	211	295
417	211	295
418	212	294
419	212	294
420	213	293
421	213	293
422	214	292
423	214	291
424	215	291
425	216	291
426	216	290
427	217	290
428	217	289
429	218	289
430	218	288
431	219	288
432	219	287
433	220	286
434	220	286
435	220	285
436	221	285
437	221	284
438	222	284
439	222	283
440	223	283
441	223	282
442	224	281
443	224	281
444	225	280
445	225	280
446	226	279
447	226	279
448	227	278
449	227	278
450	228	277
451	228	277
452	229	276
453	229	276
454	230	275
455	230	275
456	231	274
457	231	274
458	232	273
459	232	273
460	233	272
461	233	272
462	234	271
463	234	271
464	235	270
465	235	269
466	236	269
467	236	268
468	237	268
469	237	267
470	238	267
471	238	266
472	238	266
473	239	265
474	239	265
475	240	264
476	240	264
477	241	263
478	241	263
479	242	262
480	242	261
481	243	261
482	243	260
483	244	260
484	245	260
485	245	259
486	246	259
487	246	258
488	247	258
489	247	257
490	247	257
491	248	256
492	248	256
493	249	255
494	249	254
495	250	254
496	250	253
497	251	253
498	251	252
499	252	252
500	252	251
501	253	251
502	253	250
503	254	250
504	254	249
505	255	249
506	255	248
507	256	248
508	256	247
509	257	247
510	257	246
511	258	246
512	258	245
513	259	245
514	259	244
515	260	244
516	260	243
517	261	243
518	261	242
519	262	242
520	262	241
521	263	240
522	263	240
523	264	239
524	264	239
525	265	238
526	265	238
527	266	237
528	266	237
529	266	236
530	267	236
531	267	235
532	268	235
533	268	234
534	269	234
535	270	233
536	270	233
537	271	232
538	271	232
539	272	231
540	272	231
541	272	230
542	273	230
543	273	229
544	274	229
545	275	228
546	275	228
547	276	227
548	276	227
549	277	226
550	277	226
551	278	225
552	278	225
553	279	224
554	279	224
555	280	223
556	280	223
557	280	222
558	281	222
559	281	221
560	282	221
561	282	220
562	283	220
563	283	219
564	284	218
565	284	218
566	285	217
567	285	217
568	286	216
569	286	216
570	287	215
571	287	215
572	288	214
573	288	214
574	289	213
575	289	213
576	290	212
577	290	212
578	291	211
579	291	211
580	292	210
581	292	210
582	293	209
583	293	209
584	294	208
585	294	208
586	295	207
587	295	207
588	296	206
589	296	206
590	297	205
591	297	205
592	298	204
593	298	204
594	299	203
595	299	203
596	300	202
597	300	202
598	301	201
599	301	201
600	302	200
601	302	200
602	303	199
603	303	198
604	303	198
605	304	197
606	304	197
607	305	196
608	305	196
609	306	195
610	306	195
611	307	194
612	307	194
613	308	193
614	308	193
615	309	192
616	310	192
617	310	191
618	311	191
619	311	190
620	312	190
621	312	189
622	313	189
623	313	188
624	314	188
625	314	188
626	315	187
627	315	186
628	316	186
629	316	185
630	317	185
631	317	184
632	317	184
633	318	183
634	318	183
635	319	182
636	319	182
637	320	181
638	320	181
639	321	180
640	321	180
641	322	179
642	323	179
643	323	178
644	324	178
645	324	177
646	325	177
647	325	176
648	325	176
649	326	175
650	326	175
651	327	174
652	327	174
653	328	173
654	328	173
655	329	172
656	329	172
657	330	171
658	330	171
659	331	170
660	331	170
661	332	169
662	332	169
663	333	168
664	333	168
665	334	167
666	334	167
667	335	166
668	335	166
669	336	165
670	337	165
671	337	164
672	338	164
673	339	164
674	339	163
675	340	163
676	341	162
677	342	162
678	342	162
679	343	161
680	344	161
681	344	160
682	345	160
683	345	159
684	345	159
685	346	158
686	346	158
687	347	157
688	347	156
689	348	156
690	348	155
691	349	155
692	349	154
693	350	154
694	350	153
695	351	153
696	351	152
697	352	152
698	352	151
699	353	151
700	353	150
701	354	150
702	354	149
703	355	149
704	355	148
705	356	148
706	356	147
707	357	147
708	357	146
709	358	146
710	358	145
711	359	145
712	359	144
713	359	144
714	360	143
715	360	143
716	361	142
717	361	142
718	362	141
719	363	141
720	363	140
721	364	140
722	364	139
723	365	139
724	365	138
725	366	138
726	366	137
727	367	137
728	367	136
729	368	136
730	368	135
731	368	135
732	369	134
733	369	134
734	370	133
735	370	133
736	371	132
737	371	132
738	372	131
739	372	131
740	373	130
741	373	129
742	374	129
743	374	128
744	375	128
745	375	127
746	376	127
747	376	126
748	377	126
749	377	125
750	378	125
751	378	124
752	379	124
753	379	123
754	380	123
755	380	122
756	381	122
757	381	121
758	382	121
759	382	120
760	383	120
761	383	119
762	384	119
763	384	118
764	385	118
765	385	117
